family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
planted_3sat,31,maat_v16_branch,22,84,3.8181818181818183,1,1,0,9,9,0,0,9,2.388762789235098
planted_3sat,31,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,12,32,2,3,9,2.8622008809294686
random_3sat,32,random,22,94,4.2727272727272725,1,0,0,74,309,38,74,7,4.897839799950911
random_3sat,32,first,22,94,4.2727272727272725,1,0,0,30,149,16,30,6,4.051784947803305
random_3sat,32,degree,22,94,4.2727272727272725,1,0,0,18,107,10,18,5,3.6054978451748854
random_3sat,32,jeroslow_wang,22,94,4.2727272727272725,1,0,0,16,91,9,16,5,3.479700443150099
random_3sat,32,moms,22,94,4.2727272727272725,1,0,0,8,52,5,8,3,2.865053949911875
random_3sat,32,maat_v16_branch,22,94,4.2727272727272725,1,0,0,16,91,9,16,5,3.479700443150099
random_3sat,32,maat_v16_heavy,22,94,4.2727272727272725,1,0,0,14,84,8,14,4,3.367295829986474
planted_3sat,33,random,22,94,4.2727272727272725,1,1,0,6,16,0,0,6,2.151762203259462
planted_3sat,33,first,22,94,4.2727272727272725,1,1,0,11,10,0,0,11,2.5649493574615367
planted_3sat,33,degree,22,94,4.2727272727272725,1,1,0,12,66,4,7,5,3.109060958860994
planted_3sat,33,jeroslow_wang,22,94,4.2727272727272725,1,1,0,11,67,4,7,5,3.068052935133617
planted_3sat,33,moms,22,94,4.2727272727272725,1,1,0,6,27,1,1,5,2.327277705584417
planted_3sat,33,maat_v16_branch,22,94,4.2727272727272725,1,1,0,11,60,4,7,4,3.034952986707272
planted_3sat,33,maat_v16_heavy,22,94,4.2727272727272725,1,1,0,7,36,2,3,4,2.5572273113676265
random_3sat,34,random,22,94,4.2727272727272725,1,1,0,17,62,6,10,10,3.342861804649192
random_3sat,34,first,22,94,4.2727272727272725,1,1,0,40,181,19,35,9,4.287028906051602
random_3sat,34,degree,22,94,4.2727272727272725,1,1,0,19,121,9,16,4,3.649358695951653
random_3sat,34,jeroslow_wang,22,94,4.2727272727272725,1,1,0,13,104,6,10,4,3.349904087274605
random_3sat,34,moms,22,94,4.2727272727272725,1,1,0,14,69,6,10,4,3.258096538021482
random_3sat,34,maat_v16_branch,22,94,4.2727272727272725,1,1,0,14,96,6,10,4,3.3568971227655755
random_3sat,34,maat_v16_heavy,22,94,4.2727272727272725,1,1,0,11,96,5,8,3,3.216873822197528
planted_3sat,35,random,22,94,4.2727272727272725,1,1,0,20,64,6,10,10,3.449987545831587
planted_3sat,35,first,22,94,4.2727272727272725,1,1,0,37,139,16,31,7,4.154184562578117
planted_3sat,35,degree,22,94,4.2727272727272725,1,1,0,6,14,0,0,6,2.128231705849268
planted_3sat,35,jeroslow_wang,22,94,4.2727272727272725,1,1,0,13,35,3,4,9,2.962692419475791
planted_3sat,35,moms,22,94,4.2727272727272725,1,1,0,7,13,0,0,7,2.2300144001592104
planted_3sat,35,maat_v16_branch,22,94,4.2727272727272725,1,1,0,8,13,0,0,8,2.33214389523559
planted_3sat,35,maat_v16_heavy,22,94,4.2727272727272725,1,1,0,6,14,0,0,6,2.128231705849268
random_3sat,36,random,22,94,4.2727272727272725,1,0,0,42,173,22,42,8,4.335982696172475
random_3sat,36,first,22,94,4.2727272727272725,1,0,0,68,269,35,68,10,4.801969761962699
random_3sat,36,degree,22,94,4.2727272727272725,1,0,0,28,120,15,28,6,3.948354934675536
random_3sat,36,jeroslow_wang,22,94,4.2727272727272725,1,0,0,24,111,13,24,6,3.816612820623488
random_3sat,36,moms,22,94,4.2727272727272725,1,0,0,12,71,7,12,4,3.216873822197528
random_3sat,36,maat_v16_branch,22,94,4.2727272727272725,1,0,0,24,111,13,24,6,3.816612820623488
random_3sat,36,maat_v16_heavy,22,94,4.2727272727272725,1,0,0,28,149,15,28,5,4.00277736869661
planted_3sat,37,random,22,94,4.2727272727272725,1,1,0,12,27,3,4,8,2.865053949911875
planted_3sat,37,first,22,94,4.2727272727272725,1,1,0,36,117,15,28,8,4.0868162958013095
planted_3sat,37,degree,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,2.1400661634962708
planted_3sat,37,jeroslow_wang,22,94,4.2727272727272725,1,1,0,5,16,0,0,5,2.028148247292285
planted_3sat,37,moms,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,2.1400661634962708
planted_3sat,37,maat_v16_branch,22,94,4.2727272727272725,1,1,0,5,16,0,0,5,2.028148247292285
planted_3sat,37,maat_v16_heavy,22,94,4.2727272727272725,1,1,0,7,25,1,1,6,2.4024304279637616
