z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.4191536748,1.259096505,0.8027527991,0.476932722,0.2213273808,0.2092785929,0.2213273808,0.2809139892,0.2450962911,0.8269393057,0.7806925433,0.8031507339,2.167529221,2.092945708,1.411108269,4.178107633
0.4234966592,1.262384655,0.8009560316,0.4769003088,0.2236318153,0.2111193891,0.2236318153,0.2836724011,0.2473958951,0.8256824298,0.7790149568,0.8016701064,2.186132148,2.111894564,1.424705904,4.4986037
0.4278396437,1.265684309,0.7991647593,0.4768602442,0.225933971,0.2130284182,0.225933971,0.2867745567,0.2499014875,0.8243829946,0.7771369078,0.800063053,2.204862835,2.131195955,1.439042471,4.803745776
0.4321826281,1.268995439,0.7973789806,0.4768126156,0.2282337863,0.2150067563,0.2282337863,0.2902446321,0.2526256942,0.8230406908,0.7750468207,0.7983230782,2.223721757,2.150868844,1.454161172,5.086939371
0.4365256125,1.272318015,0.7955986933,0.4767575095,0.2305312004,0.2170556605,0.2305312004,0.2941059359,0.2555807982,0.8216551079,0.7727342656,0.7964441647,2.242709385,2.170931911,1.470104183,5.341564121
0.4408685969,1.275652009,0.793823895,0.4766950125,0.2328261531,0.2191765643,0.2328261531,0.2983805079,0.2587785361,0.8202257403,0.7701902438,0.7944209178,2.261826192,2.191403258,1.486911967,5.56120465
0.4452115813,1.278997392,0.7920545828,0.4766252101,0.2351185847,0.2213710706,0.2351185847,0.3030887186,0.2622298946,0.8187519944,0.7674074571,0.7922487054,2.281072646,2.212300117,1.504622588,5.739888275
0.4495545657,1.282354136,0.7902907535,0.4765481878,0.2374084363,0.2236409423,0.2374084363,0.3082488795,0.2659449109,0.8172331976,0.7643805515,0.7899237884,2.300449216,2.233638541,1.523271022,5.872315068
0.4538975501,1.285722211,0.7885324035,0.4764640303,0.2396956498,0.22598809,0.2396956498,0.3138768782,0.2699324841,0.815668609,0.7611063233,0.787443437,2.319956368,2.255433123,1.542888524,5.954065544
0.4582405345,1.28910159,0.786779529,0.4763728218,0.2419801674,0.2284145584,0.2419801674,0.3199858481,0.2742002032,0.8140574313,0.7575838797,0.7848060277,2.339594567,2.277696725,1.563502028,5.98177231
