gamma,alpha,z_tr
1.062500000000000000e+00,6.875000000000000000e-01,6.920610305152576913e-01
1.062500000000000000e+00,7.500000000000000000e-01,7.294547273636818874e-01
1.062500000000000000e+00,8.125000000000000000e-01,7.668484242121060834e-01
1.062500000000000000e+00,8.750000000000000000e-01,8.012506253126563394e-01
1.062500000000000000e+00,9.375000000000000000e-01,8.356528264132065953e-01
1.062500000000000000e+00,1.000000000000000000e+00,8.670635317658830221e-01
1.062500000000000000e+00,1.062500000000000000e+00,8.969784892446223123e-01
1.062500000000000000e+00,1.125000000000000000e+00,9.268934467233617136e-01
1.062500000000000000e+00,1.187500000000000000e+00,9.538169084542271747e-01
1.062500000000000000e+00,1.250000000000000000e+00,9.807403701850926359e-01
1.062500000000000000e+00,1.312500000000000000e+00,1.007663831915957875e+00
1.062500000000000000e+00,1.375000000000000000e+00,1.031595797898949618e+00
1.062500000000000000e+00,1.437500000000000000e+00,1.055527763881940917e+00
1.062500000000000000e+00,1.500000000000000000e+00,1.079459729864932438e+00
1.062500000000000000e+00,1.562500000000000000e+00,1.101895947973987155e+00
1.062500000000000000e+00,1.625000000000000000e+00,1.122836418209104625e+00
1.062500000000000000e+00,1.687500000000000000e+00,1.143776888444222095e+00
1.062500000000000000e+00,1.750000000000000000e+00,1.164717358679339787e+00
1.062500000000000000e+00,1.812500000000000000e+00,1.184162081040520231e+00
1.062500000000000000e+00,1.875000000000000000e+00,1.203606803401700898e+00
1.062500000000000000e+00,1.937500000000000000e+00,1.223051525762881564e+00
1.062500000000000000e+00,2.000000000000000000e+00,1.241000500250125205e+00
1.250000000000000000e+00,5.000000000000000000e-01,6.232566283141570684e-01
1.250000000000000000e+00,5.625000000000000000e-01,6.651375687843922302e-01
1.250000000000000000e+00,6.250000000000000000e-01,7.070185092546273919e-01
1.250000000000000000e+00,6.875000000000000000e-01,7.459079539769885026e-01
1.250000000000000000e+00,7.500000000000000000e-01,7.818059029514757841e-01
1.250000000000000000e+00,8.125000000000000000e-01,8.177038519259630656e-01
1.250000000000000000e+00,8.750000000000000000e-01,8.506103051525762959e-01
1.250000000000000000e+00,9.375000000000000000e-01,8.820210105052527227e-01
1.250000000000000000e+00,1.000000000000000000e+00,9.134317158579290385e-01
1.250000000000000000e+00,1.062500000000000000e+00,9.418509254627314142e-01
1.250000000000000000e+00,1.125000000000000000e+00,9.702701350675337899e-01
1.250000000000000000e+00,1.187500000000000000e+00,9.971935967983992510e-01
1.250000000000000000e+00,1.250000000000000000e+00,1.022621310655327687e+00
1.250000000000000000e+00,1.312500000000000000e+00,1.048049024512256233e+00
1.250000000000000000e+00,1.375000000000000000e+00,1.071980990495247754e+00
1.250000000000000000e+00,1.437500000000000000e+00,1.095912956478239275e+00
1.250000000000000000e+00,1.500000000000000000e+00,1.118349174587293771e+00
