case,t,energy,enstrophy,palinstrophy,equation_residual_defect,enstrophy_balance_defect,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
2d_navier_stokes_regular_control,2.48,0.1201099591724503,0.44581868193582597,7.435713094306797,0.1024527728346103,0.05134248445544675,1.5480502364885322,0.9476857925557586,0.05231420744424142,0.9070683340283273,0.9511648342813427,0.8888026462786441,0.9476857925557586,0.9350899450415324,0.9232968950096234,0.10042709580694745
2d_navier_stokes_regular_control,2.52,0.12004130926519209,0.44468255274605084,7.482791370494162,0.10208976379964187,0.05104832080352975,1.5578515205968613,0.9463977923525991,0.05360220764740087,0.9073671064254603,0.9514310428996232,0.8857596240887016,0.9463977923525991,0.9348559339735211,0.9223324462786072,0.1021361139034134
2d_navier_stokes_regular_control,2.56,0.11997282501483514,0.44353908031257266,7.52890324865546,0.1016739707961944,0.05076443763205848,1.5674516091138837,0.9450370917776182,0.05496290822238181,0.9077095642708947,0.9516880893433564,0.8827658813554382,0.9450370917776182,0.9346093755309698,0.921369824840699,0.10385406605427958
2d_navier_stokes_regular_control,2.6,0.11990450774295817,0.442388418869465,7.574050954664855,0.101407392721161,0.05049040962601924,1.5768509654470741,0.9436103947533847,0.05638960524661529,0.9079292608790089,0.9519363440509713,0.8798228013611316,0.9436103947533847,0.9342954039541085,0.9203689582162102,0.10563354161794174
2d_navier_stokes_regular_control,2.64,0.1198363587479006,0.4412307220396,7.618236386929195,0.10143601443183324,0.05022569277541853,1.5860499848280842,0.942126740088621,0.05787325991137904,0.9079056675987137,0.9521762863726103,0.8769316628806157,0.942126740088621,0.933875839106083,0.9193021853734707,0.1075112344167313
2d_navier_stokes_regular_control,2.68,0.1197683793052691,0.4400661429893669,7.661459429792878,0.10179741477244274,0.04996963950951859,1.5950486431784325,0.9405972995768997,0.05940270042310025,0.9076078656497236,0.9524084910370729,0.8740937607015965,0.9405972995768997,0.9333440123899083,0.9181651706167225,0.1094929666554709
2d_navier_stokes_regular_control,2.72,0.11970057066836323,0.4388948348209336,7.703716782351725,0.10241181654219278,0.049721548760547,1.603846253278826,0.9390350833134642,0.06096491668653581,0.9071020330102991,0.9526335828589445,0.8713104934296639,0.9390350833134642,0.9327271432737927,0.9169785940229961,0.11155074473350436
2d_navier_stokes_regular_control,2.7600000000000002,0.11963293406849893,0.43771695107894143,7.745001755771698,0.10312298488792747,0.049480733561179435,1.612441422572696,0.9374545632693917,0.0625454367306083,0.9065172366992206,0.95285217538651,0.8685833874400442,0.9374545632693917,0.9320744598159043,0.9157793272742355,0.11363397261358606
2d_navier_stokes_regular_control,2.8000000000000003,0.11956547071523607,0.43653264621138865,7.785305064700913,0.1037672414640346,0.0492465792024147,1.6208322179312358,0.935871232549904,0.06412876745009599,0.9059881127415977,0.9530648179574248,0.8659140538875844,0.935871232549904,0.9314374134304371,0.9146058100399579,0.11568885894083754
2d_navier_stokes_regular_control,2.84,0.11949818179653296,0.43534207585921836,7.82461620413679,0.10423616023200967,0.049018570758440155,1.6290164523050628,0.9343011224252957,0.06569887757470427,0.9056033808835705,0.9532719704637834,0.8633041049487604,0.9343011224252957,0.9308518718407955,0.9134849230897499,0.11767631003841557
