z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
9.018425196146570499e+01,1.096680598336868644e-02,5.031512583233534175e-02,5.028412808911453258e-02,3.758096928791306718e-02,3.755781673524705155e-02,-6.160720600024469779e-02,-6.160711952009719633e-02
8.934660211810525254e+01,1.106848488549413111e-02,5.074302547397580715e-02,5.071176411415061203e-02,3.762767054816899132e-02,3.760448923142526573e-02,-6.160720519360418646e-02,-6.160710032275334980e-02
8.851664721378300271e+01,1.117110650504824290e-02,5.117148052523812912e-02,5.113995520672324352e-02,3.767850425132491382e-02,3.765529162539484748e-02,-6.160720423036635668e-02,-6.160707913252713719e-02
8.769431656014704402e+01,1.127467958244947159e-02,5.160053771042210496e-02,5.156874806235558356e-02,3.773342000407219066e-02,3.771017355491024237e-02,-6.160720309722787086e-02,-6.160705591870425241e-02
8.687954011821319966e+01,1.137921293915315074e-02,5.203024318782582119e-02,5.199818881091800016e-02,3.779236862532440316e-02,3.776908586920161431e-02,-6.160720178090808852e-02,-6.160703065112261428e-02
8.607224849239914022e+01,1.148471547840290014e-02,5.246064256338198867e-02,5.242832303025594942e-02,3.785530212320089433e-02,3.783198060597312701e-02,-6.160720026826087270e-02,-6.160700329868439712e-02
8.527237292461451545e+01,1.159119618598885605e-02,5.289178090403658800e-02,5.285919575956046085e-02,3.792217367248509885e-02,3.789881096887398604e-02,-6.160719854611724361e-02,-6.160697383247287079e-02
8.447984528840406426e+01,1.169866413101307984e-02,5.332370275087522371e-02,5.329085151248631747e-02,3.799293759254759179e-02,3.796953130543747473e-02,-6.160719660145327209e-02,-6.160694221946200200e-02
8.369459808314586269e+01,1.180712846666190190e-02,5.375645213200219708e-02,5.372333429002333627e-02,3.806754932572622985e-02,3.804409708547198260e-02,-6.160719442112354977e-02,-6.160690842895450575e-02
8.291656442830155527e+01,1.191659843098559664e-02,5.419007257517744619e-02,5.415668759312535635e-02,3.814596541614635045e-02,3.812246487989485316e-02,-6.160719199217740139e-02,-6.160687243099639138e-02
8.214567805772058762e+01,1.202708334768512813e-02,5.462460712021610654e-02,5.459095443510234708e-02,3.822814348899086778e-02,3.820459234001779419e-02,-6.160718930151332096e-02,-6.160683418972717762e-02
8.138187331399603863e+01,1.213859262690628570e-02,5.506009833115576430e-02,5.502617735378004943e-02,3.831404223017083333e-02,3.829043817722689591e-02,-6.160718633609971878e-02,-6.160679367146004726e-02
8.062508514287223704e+01,1.225113576604119729e-02,5.549658830819591965e-02,5.546239842343214654e-02,3.840362136645040364e-02,3.837996214311865939e-02,-6.160718308286318445e-02,-6.160675084775485422e-02
7.987524908770451759e+01,1.236472235053715819e-02,5.593411869941442710e-02,5.589965926648947370e-02,3.849684164594952690e-02,3.847312501002071033e-02,-6.160717952871609671e-02,-6.160670567974224632e-02
7.913230128396882890e+01,1.247936205471312024e-02,5.637273071226542309e-02,5.633800106503090294e-02,3.859366481906674473e-02,3.856988855192140103e-02,-6.160717566048964922e-02,-6.160665813109646866e-02
7.839617845382278460e+01,1.259506464258358487e-02,5.681246512486324424e-02,5.677746457206028774e-02,3.869405361978935087e-02,3.867021552579030796e-02,-6.160717146498006364e-02,-6.160660817105850784e-02
7.766681790071577041e+01,1.271183996869029546e-02,5.725336229705662444e-02,5.721809012257382532e-02,3.879797174738566778e-02,3.877406965328682870e-02,-6.160716692897606761e-02,-6.160655576138381051e-02
7.694415750404945697e+01,1.282969797894148271e-02,5.769546218129750076e-02,5.765991764442227052e-02,3.890538384847899711e-02,3.888141560284281983e-02,-6.160716203908375016e-02,-6.160650086251318047e-02
7.622813571388638820e+01,1.294864871145905497e-02,5.813880433330870234e-02,5.810298666897194958e-02,3.901625549949017807e-02,3.899221897211377352e-02,-6.160715678191582695e-02,-6.160644343924452648e-02
7.551869154570822218e+01,1.306870229743346996e-02,5.858342792255450543e-02,5.854733634156893823e-02,3.913055318944013566e-02,3.910644627079467445e-02,-6.160715114397054271e-02,-6.160638345375287622e-02
7.481576457522106693e+01,1.318986896198671120e-02,5.902937174251816216e-02,5.899300543181026230e-02,3.924824430310763085e-02,3.922406490378829713e-02,-6.160714511163539742e-02,-6.160632086520929918e-02
7.411929493320965889e+01,1.331215902504308268e-02,5.947667422079037924e-02,5.944003234362615906e-02,3.936929710453586362e-02,3.934504315472034386e-02,-6.160713867119998327e-02,-6.160625563397570392e-02
