galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual,morphology_proxy,vobs_max,median_gas_fraction_proxy,median_bulge_fraction_proxy,outer_residual_fraction_proxy
F563-1,unknown,17,0.8786044605731597,0.8861425963233375,0.1853756696575498,0.3864200552770249,0.4357062856089961,0.4770633317197559,1738.4707192581118,1.4746435244515683,33.51689924209389,1.37604386273497,gas_rich_late_proxy,112.5,0.6005607451037153,0.0,0.8861425963233375
F563-V1,unknown,6,0.3399295284578969,0.227413427282254,0.1278806392344243,0.3031400067092958,0.6272558282372672,0.5428263263575931,119.705699021968,0.6298305821125623,2.26007281638971,5.534556084041185,dwarf_proxy,29.5,0.4453393762822502,0.0,0.227413427282254
F563-V2,unknown,10,0.8660490645861547,0.8497385827344572,0.3517889922893376,0.6530048912448336,0.6947438942812185,0.5791564829179453,2062.83655153001,1.5416343188674748,25.708077326713163,1.6081712239468218,dm_dominated_disk_proxy,118.0,0.15052995384153287,0.0,0.8497385827344572
F565-V2,unknown,7,0.8592289083212826,0.8759770312938702,0.3789258792494697,0.5394404521286673,0.6823437362552319,0.6429702244288953,494.78412791727914,0.649897784778896,38.27021939503432,0.942832836881833,dwarf_proxy,83.1,0.6586241807236802,0.0,0.8759770312938702
F567-2,unknown,5,0.6969725627988301,0.6604235055678095,0.2695113660779304,0.464615700580958,0.6996701854496382,0.5392901528381656,329.98399272595844,0.5585612223122136,7.455838546382704,2.1630586434352823,dwarf_proxy,52.2,0.2126491909215794,0.0,0.6604235055678095
F568-1,unknown,12,0.8605706560321389,0.8635162111221901,0.3277640429941745,0.4241904255856641,0.6893016746412459,0.5588201521781083,2131.3153814160437,1.466846503341219,30.68073468374589,2.344870152253866,dm_dominated_disk_proxy,142.0,0.11948013558516543,0.0,0.8635162111221901
F568-3,unknown,18,0.7471211498002152,0.7963560485837807,0.243948074212822,0.4190744595692596,0.5894184341002183,0.5609891884479843,2609.986885892557,5.290355113792038,40.0,1.1559010599351998,dm_dominated_disk_proxy,120.0,0.05426342918893193,0.0,0.7963560485837807
F568-V1,unknown,15,0.8727503026148751,0.8809036744742559,0.2959877390502939,0.471598637142762,0.6440279424464946,0.5222518958818391,1066.9318329865453,0.2886677246969804,8.513215225639529,2.32138042318285,dm_dominated_disk_proxy,118.0,0.12754397847012544,0.0,0.8809036744742559
F571-8,unknown,13,0.4629040279772353,0.7897357528157505,0.0890548544692745,0.1732809066948447,0.4344856825877343,0.3572950730037337,9959.091573408185,94.09997360717352,40.0,5.470376042635479,dm_dominated_disk_proxy,144.0,0.01646587326159074,0.0,0.7897357528157505
F571-V1,unknown,7,0.7775003736058581,0.8088066488146157,0.3487258763216597,0.4640432560741359,0.7089462998189803,0.6404149510774664,427.1394208936942,0.3829201898937784,32.06747718590482,0.7975711183891109,dwarf_proxy,84.3,0.554081337896636,0.0,0.8088066488146157
F574-1,unknown,14,0.7972629027384123,0.814325621677835,0.294504830945977,0.446109427788486,0.7000638261686353,0.5301430271813544,863.9646360558539,2.619835726603185,23.532687018360203,1.6350112119435334,dm_dominated_disk_proxy,99.7,0.10404730408329207,0.0,0.814325621677835
F574-2,unknown,5,0.140380630192945,0.0966653855452675,0.042180277784615,0.1283165331150888,0.5888284269683615,0.5403726877777961,110.95428155702146,0.2944145277709603,40.0,4.386392505324629,dwarf_proxy,40.0,0.29628908152332717,0.0,0.09666538554526745
F579-V1,unknown,14,0.8008248758105977,0.7541957989138132,0.3387742269383905,0.7295526148490451,0.7471361259118214,0.5495488443908486,593.9722348577064,0.2071315718428895,4.386397874286246,1.4381897368033143,dm_dominated_disk_proxy,114.0,0.07688190205661316,0.0,0.7541957989138132
F583-1,unknown,25,0.8350897232863769,0.8738959260785356,0.1931656422725032,0.3284101040939751,0.4889243425551492,0.4739127681335083,878.2954367446969,3.5286985381489724,40.0,1.5270110810618878,dm_dominated_disk_proxy,86.9,0.07571391144878176,0.0,0.8738959260785356
F583-4,unknown,12,0.7690992225164018,0.7809040088534261,0.2643409555454944,0.6212263214472361,0.6030720323949904,0.546092576634532,146.78575352729027,0.1616865283964115,29.353961188694857,0.9988651167293474,dwarf_proxy,69.9,0.11208051870218148,0.0,0.7809040088534261
IC2574,unknown,34,0.7320097960528666,0.7603469182302218,0.2114696204657836,0.3728036598724412,0.5171075439747828,0.5503569318911992,736.5209807996075,50.258904167042886,40.0,7.127028801159668,dwarf_proxy,67.5,0.3492809713400508,0.0,0.7603469182302218
IC4202,unknown,32,0.4314338777653451,0.5374452138026675,0.0798344192773092,0.1835455836147798,0.4619261164220222,0.3863314385706832,26747.584600106944,194.0928343313137,40.0,3.1710759244395095,bulge_proxy,250.0,0.02251631326956945,0.2704537603903209,0.5374452138026675
