instance_id,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,expansion_defect,interaction_cycle_density,backdoor_density,propagation_depth,contradiction_rate,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,F_MAAT_primary,density_peak
333,33,127,3.863614664511999,True,9,False,0.0004029580159112811,2.302585092994046,0.25860678080182364,1.385826771533511,0.2401199810020707,0.0,0.17926613616264825,0.2727272727272727,0.0,0.0,2.833532656693975,0.5853487794606044,0.663961659905571,0.5410390197832952,0.634230394730837,0.6270010336388679,0.60430799427765,2.5183564252746757,2.014685140215668,0.5803935093483497
334,24,98,4.067527687204044,True,18,False,0.0004998340737074614,2.9444389791664403,0.21630085842567132,1.4693877549820908,0.2561740274752836,0.0,0.23730501161625048,0.2916666666666667,0.0,0.0,2.503965013652947,0.6150094583232395,0.6687836435354056,0.5402249053064645,0.5854995109502357,0.6221541344523909,0.6005748536808372,2.5493399565181556,2.039471965210528,0.879612149619999
335,25,108,4.306036672796212,True,14,False,0.0006290830206125975,2.70805020110221,0.2324875257260918,1.5432098764241349,0.21490897989088606,0.0,0.21892458100551015,0.28,0.0,0.0,2.8634874892328948,0.5827940979385487,0.6878774512689741,0.5395077098589804,0.6017393292119786,0.6225079067685667,0.6006314486644514,2.548868805275472,2.0390950442153075,0.9926883045280066
336,33,147,4.467315959330904,False,29,False,0.0015922909369692206,3.4011973816621555,0.34602609931492767,1.7959183672125503,0.24417298099179707,0.0,0.19960629921255912,0.2727272727272727,0.0,0.0,3.142922316362334,0.5599948904438141,0.6341377466671978,0.5370669521813211,0.6182783801726346,0.6032776600945167,0.5859965239095144,2.672207098040195,2.1377656784289445,0.8617221495079453
337,29,136,4.692909165416639,False,33,False,0.0015763750998303294,3.5263605246161616,0.2330881064141921,1.3504901959824407,0.23165097892100014,0.0,0.2140896614821102,0.3103448275862069,0.0,0.0,2.869669665626481,0.5822696278999638,0.6775240563342011,0.5413840341952368,0.5964967086073373,0.6173796396638689,0.5974348989925153,2.5755497754773886,2.0604398203775784,0.5226058201043381
338,34,168,4.936793657895557,False,41,False,0.0026325829094275832,3.7376696182833684,0.2478491502948227,1.551587301482631,0.24091149406114518,0.0,0.2046468687490068,0.29411764705882354,0.0,0.0,2.9417692144194314,0.5762219797931638,0.6670794532084445,0.5394264419317073,0.6080550801050321,0.6159849506170249,0.5958825041495852,2.588558851789807,2.0708470814278077,0.204733834234038
339,31,160,5.171445045546894,False,31,False,0.0017281660111621022,3.4657359027997265,0.2840676757993091,1.6791666665582203,0.20651533873600067,0.0,0.21892130857644226,0.25806451612903225,0.0,0.0,3.1505115983515872,0.5594005330922228,0.674982132808343,0.5381918355484515,0.6081636617832538,0.6123671332321245,0.5929160153433854,2.613512575312299,2.0908100602447997,0.05633179893714966
340,24,79,3.273737666696686,True,10,False,0.00024904205929487944,2.3978952727983707,0.3548069126756323,1.8227848099419965,0.2672295296951893,0.0,0.20069547938390428,0.25,0.0,0.0,2.7769491832402684,0.5902360917641523,0.6197693123618102,0.5368087636547524,0.6244571286760922,0.6112977812753119,0.5917585124163166,2.6232832192135316,2.0986265753683297,0.03445431081529779
341,32,112,3.5053807293754042,True,12,False,0.00035608396865427494,2.5649493574615367,0.32819163692327274,1.8095238093514738,0.23153113787904653,0.0,0.16968599033811302,0.25,0.0,0.0,2.729671399244963,0.5943826619006659,0.6463563377484512,0.5369361718309732,0.6496155656677037,0.6296001975274452,0.6050333405303617,2.5123585624911335,2.0098868499888796,0.13920875723680223
342,27,100,3.7217288462665934,True,8,False,0.0002803331008180976,2.1972245773362196,0.205426385823253,1.3499999998785,0.21722721720482316,0.0,0.19805303793212553,0.2962962962962963,0.0,0.0,2.6124451484866262,0.6049199517239806,0.696153321136963,0.541388823399167,0.6123162092166523,0.6364918613288594,0.6112543496504618,2.461210602923191,1.9689684823333724,0.3666892845251321
