galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual
UGC00191,unknown,9,0.7511665670576521,0.7741542476815176,0.30871722353834546,0.37899774156086835,0.6673048931893502,0.6157435790993007,648.0546455756197,3.816902826436924,9.300187231017844,3.0990832379977666
UGC00634,unknown,4,0.7989617078268917,0.8357159295510921,0.4337018608863739,0.6086735636259778,0.7917317839563418,0.6897504315387581,667.6633093311353,2.186448867753022,23.532687018360203,1.0079883107107521
UGC00731,unknown,12,0.8547638720242586,0.7815979805964447,0.3379943681267732,0.7899430005340725,0.7167328489250236,0.5264218542789803,162.89573119445765,0.3367555129369568,8.145065361059286,3.784018312513405
UGC00891,unknown,5,0.7419632600480854,0.8131502905603393,0.3502630709542219,0.40709368596502465,0.7335959589691148,0.6603890605300358,248.0548879959594,5.981326150883851,40.0,4.582024757300192
UGC01230,unknown,11,0.7617775141345622,0.7868475633156248,0.25536311328958217,0.4244715767462279,0.6128107840786855,0.5617807557479334,2258.906761184996,2.034501156168217,15.808117829913492,1.538552811399473
UGC01281,unknown,25,0.8253216367359438,0.8152090241425151,0.2670778216361667,0.4324039877213033,0.5899081269646814,0.5503206464885654,415.6460359846316,2.5532058426048296,40.0,0.5005623877663486
UGC02023,unknown,5,0.46789421350932753,0.5776783772113209,0.20123052158645677,0.3515114084064775,0.6839788998875573,0.6217192716050355,719.7209720104914,1.040484851872066,38.27021939503432,1.5393519774435478
UGC02259,unknown,8,0.8417102553632543,0.8290558516030339,0.38414822658116987,0.7797897592285089,0.7325771925046972,0.5982779046973639,278.39977734644253,0.6242944747257397,3.6754613897046746,6.1534221170755785
UGC02455,unknown,8,0.023735593590432678,0.047471187180865355,0.0059893953639750105,0.047915162911800084,0.12623961190129368,0.3526660393730644,249.65713803323172,1.6654670541307581,40.0,10.957066621466474
UGC02487,unknown,17,0.7116554083950843,0.7954997024462632,0.24156094834538955,0.4040648155734791,0.690483446717206,0.5044178710664223,7542.799716023734,5.532697335594754,12.673161446571157,13.877737546032352
UGC02885,unknown,19,0.6010884350455606,0.7125489660167624,0.151474513607281,0.2576113661445054,0.6486553412716167,0.40299137520431466,9000.212747488153,4.698127911679996,35.03183391359687,0.9084214975601003
UGC02916,unknown,43,0.2621272358156002,0.4226290352046745,0.05608066895823993,0.2731031827707918,0.46248267015864875,0.3624199207315581,14166.475459970276,274.2494883464181,40.0,5.790401267306062
UGC02953,unknown,115,0.39792579010481904,0.6154835385285661,0.0857462173825318,0.24925184840451872,0.5406233725754919,0.4088830740657033,26840.8291619892,1950.0586855368967,40.0,8.264518971752825
UGC03205,unknown,48,0.5049804584011791,0.59511794708036,0.10550843382675663,0.1713368552045918,0.5873170295951021,0.35934687998947884,14688.498771127719,228.00638861460652,40.0,2.7255240540910664
UGC03546,unknown,30,0.2480320494908749,0.4960640989817498,0.053363726490655974,0.1640179246934614,0.3424365485551312,0.34360221294525223,13197.94782676987,1325.6903793375577,40.0,2.5199238584332004
UGC03580,unknown,47,0.2859219527690363,0.5369456642055394,0.05061338724668606,0.1599543707715557,0.29571138362416344,0.3319673240417743,5922.505113464463,343.52868593138965,40.0,7.5259282490093495
UGC04278,unknown,25,0.793845468552054,0.8399435301489242,0.2595619447747375,0.5397082802906752,0.6181304542103931,0.5213115059627693,901.5187252160348,2.2717449273048107,40.0,1.2083540074479582
UGC04305,unknown,22,0.23777108053241439,0.057908315464836234,0.07633136610935526,0.24254858453235364,0.5137534828825785,0.47868603864327536,365.83516425063954,4.386194543205717,0.6,7.20839571212553
UGC04325,unknown,8,0.8126352557490238,0.7731841689793338,0.32491538608837534,0.6400899673350912,0.6249839870838705,0.6122856024206762,634.9198399184778,2.726170867085877,4.584659240135315,4.965463059177297
UGC04483,unknown,8,0.648633681566612,0.6826902211975995,0.225260715506776,0.3304262750506471,0.6177616164047024,0.5601866315521132,35.088432890913644,0.8359159942288159,6.247414733110723,3.0865550649376643
UGC04499,unknown,9,0.6659157807112172,0.7150562141762867,0.2418100594037323,0.36308179540811225,0.622416994153309,0.6016755999417049,317.44614205089863,2.275245557478753,23.532687018360203,2.8045822395456113
UGC05005,unknown,11,0.6899511681434942,0.7910054760438476,0.23350311794784007,0.33325136600641425,0.6353116590326717,0.5513670745553573,1010.6281720693872,0.8352597638350762,40.0,1.436601196098412
UGC05253,unknown,73,0.2669022782105937,0.42570447215381985,0.05316746875680766,0.1413103749428642,0.6196706093687314,0.3690216489671028,6363.710941620229,25.705610023261507,40.0,1.5039612808737477
UGC05414,unknown,6,0.6229106637361351,0.6709259827773741,0.31647568506742335,0.40687147750498315,0.7506620209696507,0.6793529322735421,203.66601437926175,1.9429694160787319,40.0,3.320300223093477
UGC05716,unknown,12,0.8327407071447244,0.8256352755029132,0.3241655207914784,0.7107626340176214,0.6750348617411367,0.5597782261384174,170.7372319931061,1.7872405777659373,8.898005143648739,3.874723128580207
UGC05721,unknown,23,0.7939451971630195,0.871541987114624,0.23314242351074949,0.3699783245655558,0.6130083534704144,0.49059002853452566,686.3029756015599,1.2839939983279942,2.819146393447027,3.1262296896914274
UGC05750,unknown,11,0.6421551731360208,0.7622521013478999,0.1677483358853288,0.281592141901273,0.5567808804991949,0.48209384750687306,2026.095876723137,7.20246001471622,40.0,1.6799660579744575
UGC05764,unknown,10,0.872584314144755,0.835214384477494,0.3868526951532868,0.757873638636883,0.6978863375484985,0.6155425958804208,375.5196518089954,6.988563227952315,2.819146393447027,6.498080295268754
UGC05829,unknown,11,0.7897809467461869,0.7198875152241992,0.32464719387377505,0.61227900535639,0.6874305745173795,0.5718832431500203,121.89519653614141,0.1303670623521579,40.0,1.3559976088303218
UGC05918,unknown,8,0.8486257975627982,0.8176955030963143,0.37628432054437244,0.7115703776462731,0.7293692956688265,0.5983913289575455,70.4003366355217,0.1355507875495065,7.792835958865834,0.9364825868878237
UGC05986,unknown,15,0.7442907052056592,0.8115647842429303,0.272234824000691,0.33730753484319825,0.6666057631002379,0.5660889198932259,1755.8125380923957,10.652465087630178,40.0,4.845239977346214
UGC05999,unknown,5,0.7345988750257627,0.7705575515816783,0.2710300473191306,0.4374381409898145,0.6381128016957114,0.5711822472321053,947.4728448580033,2.895882785982601,40.0,1.8955494687853693
UGC06399,unknown,9,0.7692339114372132,0.7946665286081072,0.3162492281541789,0.42533625591096114,0.6410414156575011,0.6470820113718667,409.01021718259705,0.8900824740147952,32.06747718590482,0.7647362072773838
UGC06446,unknown,17,0.82652111526179,0.810906195596325,0.29808608282213833,0.48889152167028443,0.6782183359931596,0.5257133240583911,303.09137406214376,0.254525319402211,5.718765107160333,1.7839870454647901
