d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.0037037037037036535,0.0,0.8623249299719888,0.2529171284720374,sat,sat_hardness_atlas,3.0,7.081031799316406e-05,0.0392554835522612
0.5,0.0037037037037036535,0.0,0.8637254901960785,0.27834371173136485,sat,sat_hardness_atlas,3.0,8.702278137207031e-05,0.0394299935956114
0.5,0.00925925925925919,0.0,0.8630252100840337,0.23968841297326926,sat,sat_hardness_atlas,3.0,8.106231689453125e-05,0.0385461611867224
0.5,0.03703703703703698,0.0,0.8627450980392157,0.2691311762465619,sat,sat_hardness_atlas,3.0,7.796287536621094e-05,0.0381806491402589
0.5,0.04629629629629639,0.0,0.8612044817927171,0.24594165341483887,sat,sat_hardness_atlas,3.0,7.319450378417969e-05,0.0377324401829556
0.5,0.022222222222222365,0.0,0.8638655462184874,0.2667207247102368,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.0383980957545877
0.5,0.042592592592592626,0.0,0.8647058823529412,0.25543591638874885,sat,sat_hardness_atlas,3.0,8.916854858398438e-05,0.0371243438747577
0.5,0.00925925925925919,0.0,0.861764705882353,0.24025307335204216,sat,sat_hardness_atlas,3.0,8.416175842285156e-05,0.0389133628069475
0.5,0.012962962962962954,0.0,0.8635854341736695,0.24358785321130838,sat,sat_hardness_atlas,3.0,0.0001158714294433,0.0383299081086742
0.5,0.005555555555555647,0.0,0.8610644257703082,0.24025307335204216,sat,sat_hardness_atlas,3.0,8.130073547363281e-05,0.0392566997434937
0.5,0.0,0.0,0.8627450980392157,0.23007733354812254,sat,sat_hardness_atlas,3.0,7.295608520507812e-05,0.0387742662722607
0.5,0.04629629629629639,0.0,0.8620448179271709,0.2530866279994203,sat,sat_hardness_atlas,3.0,7.510185241699219e-05,0.0376573829276747
0.5,0.02962962962962956,0.0,0.8589635854341737,0.2598465895616443,sat,sat_hardness_atlas,3.0,8.296966552734375e-05,0.0393234184116507
0.5,0.007407407407407418,0.0,0.8621848739495799,0.2720817263637769,sat,sat_hardness_atlas,3.0,8.082389831542969e-05,0.0395835494096687
0.5,0.005555555555555647,0.002777777777777768,0.8638655462184874,0.24486082846722856,sat,sat_hardness_atlas,3.0,7.104873657226562e-05,0.0384590881852168
0.5,0.042592592592592626,0.0,0.8628851540616247,0.22966848451216437,sat,sat_hardness_atlas,3.0,7.796287536621094e-05,0.0370763248462576
0.5,0.062962962962963,0.0,0.8623249299719888,0.2529171284720374,sat,sat_hardness_atlas,3.0,8.487701416015625e-05,0.0369205849617921
0.5,0.00925925925925919,0.0,0.8606442577030813,0.2540988476279413,sat,sat_hardness_atlas,3.0,8.916854858398438e-05,0.039539871617
0.5,0.04814814814814816,0.0,0.8623249299719888,0.25543591638874885,sat,sat_hardness_atlas,3.0,9.107589721679688e-05,0.0375584580355047
0.5,0.022222222222222365,0.0,0.8612044817927171,0.24772241047506505,sat,sat_hardness_atlas,3.0,0.0001320838928222,0.0387242231693382
0.5,0.012962962962962954,0.0,0.8614845938375351,0.233100617480116,sat,sat_hardness_atlas,3.0,7.295608520507812e-05,0.0386891978595281
0.5,0.012962962962962954,0.0,0.8630252100840337,0.2619165954916435,sat,sat_hardness_atlas,3.0,6.794929504394531e-05,0.0388931836967386
0.5,0.0,0.0,0.8600840336134454,0.2374035038553578,sat,sat_hardness_atlas,3.0,7.724761962890625e-05,0.0396903007063125
