d_H,d_B,d_S,d_V,d_R,label,source
0.5,0.0296296296296295,0.0,0.8628851540616247,0.2459416534148388,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8614845938375351,0.2491289151549601,sat,sat_hardness_atlas
0.5,0.0166666666666668,0.0,0.8644257703081233,0.25526955789349,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8602240896358544,0.2498262682045374,sat,sat_hardness_atlas
0.5,0.0555555555555555,0.0,0.8605042016806723,0.2473682909889033,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8602240896358544,0.2608061808444626,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8610644257703082,0.2441350149792907,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8628851540616247,0.237978724768801,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8620448179271709,0.25,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8630252100840337,0.2391211523659686,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8598039215686275,0.2362449096619125,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8612044817927171,0.2583934180328829,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8621848739495799,0.2325019400455039,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8613445378151261,0.2670245318058221,sat,sat_hardness_atlas
