set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
known_zero,9,48.00515088116716,0.002,0.502,HBR,10.0,0.002,0.029154701501323668,0.9968800687256301,0.9803921568627451,0.9937920834331997
known_zero,9,48.00515088116716,0.005,0.505,HBR,10.0,0.002,0.06274990649859394,0.9922599235742646,0.9523809523809523,0.9938295597962546
known_zero,9,48.00515088116716,0.01,0.51,HBR,10.0,0.002,0.1168403382016829,0.9847151574483936,0.9090909090909091,0.9938914350975481
known_zero,9,48.00515088116716,0.02,0.52,HBR,10.0,0.002,0.2185962580129261,0.9701838147538802,0.8333333333333333,0.9940130182990854
known_zero,9,48.00515088116716,0.05,0.55,HBR,10.0,0.002,0.4830342650968429,0.9306107721919501,0.6666666666666665,0.994360966487041
jittered_zero,9,47.96419464484395,-0.05,0.45,HBR,10.0,0.002,0.5157584388482485,0.9020125756639759,0.6666666666666666,0.9928591045202251
jittered_zero,9,47.96419464484395,-0.02,0.48,HBR,10.0,0.002,0.260707209537826,0.930866886061407,0.8333333333333333,0.9932760463300688
jittered_zero,9,47.96419464484395,-0.01,0.49,HBR,10.0,0.002,0.16770753794614912,0.93633282160905,0.9090909090909091,0.9934087471533855
jittered_zero,9,47.96419464484395,-0.005,0.495,HBR,10.0,0.002,0.11944577786779077,0.9379035292370896,0.9523809523809523,0.9934739565823915
jittered_zero,9,47.96419464484395,-0.002,0.498,HBR,10.0,0.002,0.08984669178387746,0.9384406610971886,0.9803921568627451,0.9935127216910863
jittered_zero,9,47.96419464484395,0.0,0.5,HBR,10.0,0.002,0.06982000823289068,0.9386266733928698,1.0,0.99353841591538
jittered_zero,9,47.96419464484395,0.002,0.502,HBR,10.0,0.002,0.08954531936648841,0.9386750840292755,0.9803921568627451,0.9935639913776105
