set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
random_critical_line,37,64.20461405797917,0.02,0.52,HBR,10.0,0.001,1.4078950464364155,0.2957815725828465,0.8333333333333333,0.9925881421802817
random_critical_line,37,64.20461405797917,0.05,0.55,HBR,10.0,0.001,1.6073836646733866,0.30273839820918147,0.6666666666666665,0.9929923310966768
random_critical_line,38,82.71226490614599,-0.05,0.45,HBR,10.0,0.001,0.8888595834782094,0.6209076810644953,0.6666666666666666,0.9932016087923874
random_critical_line,38,82.71226490614599,-0.02,0.48,HBR,10.0,0.001,0.6410763627340661,0.636093217330098,0.8333333333333333,0.9936754370868646
random_critical_line,38,82.71226490614599,-0.01,0.49,HBR,10.0,0.001,0.5478446677151156,0.6399656137012396,0.9090909090909091,0.993825485893617
random_critical_line,38,82.71226490614599,-0.005,0.495,HBR,10.0,0.001,0.4985861051035354,0.6416730718256151,0.9523809523809523,0.9938990846013752
random_critical_line,38,82.71226490614599,-0.002,0.498,HBR,10.0,0.001,0.468073291936884,0.6426242859661834,0.9803921568627451,0.9939427943705992
random_critical_line,38,82.71226490614599,0.0,0.5,HBR,10.0,0.001,0.4473025948600204,0.6432279547381866,1.0,0.9939717484913916
random_critical_line,38,82.71226490614599,0.002,0.502,HBR,10.0,0.001,0.4661759701437709,0.6438072951645425,0.9803921568627451,0.9940005548924016
random_critical_line,38,82.71226490614599,0.005,0.505,HBR,10.0,0.001,0.49384198437583965,0.6446308197334785,0.9523809523809523,0.9940434891230999
random_critical_line,38,82.71226490614599,0.01,0.51,HBR,10.0,0.001,0.5383506018642273,0.6458827126229164,0.9090909090909091,0.9941143179178116
