set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,20.0,0.005,-0.02,0.35777595166726,0.35651306358549745,0.007291642077367364,0.8497522067529146,0.7142857142857141,0.9789469363534744
jittered_zero,BR,20.0,0.005,-0.01,0.2031061359996847,0.20179293891112343,0.007065100148825946,0.8562582644403356,0.8333333333333333,0.979453725616894
jittered_zero,BR,20.0,0.005,-0.005,0.1158403857038119,0.1144897946393503,0.00695429546781843,0.8585300784244148,0.909090909090909,0.9797021640822742
jittered_zero,BR,20.0,0.005,-0.002,0.05959993187681798,0.058227463248876406,0.0068885876469196965,0.8594465753298236,0.9615384615384615,0.9798496642753884
jittered_zero,BR,20.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854
jittered_zero,BR,20.0,0.005,0.002,0.05940050569705797,0.05799950865620598,0.006801870494212914,0.8600072776802227,0.9615384615384615,0.9800445255867516
jittered_zero,BR,20.0,0.005,0.005,0.11534180814035304,0.11391988970388008,0.0067374958661478804,0.8599369485364905,0.909090909090909,0.9801893283716503
jittered_zero,BR,20.0,0.005,0.01,0.2021088943414718,0.20065299722284746,0.006631452945150154,0.8591036540259818,0.8333333333333333,0.9804281328467159
jittered_zero,BR,20.0,0.005,0.02,0.35578077602850805,0.35426018149536753,0.006423963635342859,0.855638454617325,0.7142857142857141,0.9808963800622627
jittered_zero,BR,20.0,0.005,0.05,0.711094629293306,0.7095790292088567,0.005836651840700734,0.8381556567268396,0.49999999999999983,0.9822289375371339
jittered_zero,HBR,0.0,0.001,-0.05,0.20670301193035115,0.17718273497309456,0.10645667726029714,0.8214002277480669,1.0,0.9953752455105596
jittered_zero,HBR,0.0,0.001,-0.02,0.17309376963812959,0.14540119425105547,0.11258176192284432,0.8497522067529146,1.0,0.995709008821016
jittered_zero,HBR,0.0,0.001,-0.01,0.16558054356164725,0.14071828729563376,0.11450511791556464,0.8562582644403356,1.0,0.9958143352647377
jittered_zero,HBR,0.0,0.001,-0.005,0.1629410153770125,0.13925212631106415,0.11501772815236379,0.8585300784244148,1.0,0.9958659303813351
jittered_zero,HBR,0.0,0.001,-0.002,0.16184648035288457,0.13864349771362316,0.11502153628033576,0.8594465753298236,1.0,0.9958965510459452
jittered_zero,HBR,0.0,0.001,0.0,0.16136570080210788,0.13835085956691673,0.11483861948144289,0.8598261347082454,1.0,0.995916825885169
