epsilon,chi2
-2.319999999999999146e-03,1.241813128754989393e+01
-2.299999999999999961e-03,1.241828307998750525e+01
-2.279999999999999909e-03,1.241843510760428870e+01
-2.259999999999999856e-03,1.241858737040021410e+01
-2.239999999999999804e-03,1.241873986837530097e+01
-2.219999999999999751e-03,1.241889260152955465e+01
-2.199999999999999699e-03,1.241904556986294850e+01
-2.179999999999999646e-03,1.241919877337550560e+01
-2.159999999999998727e-03,1.241935221206721707e+01
-2.139999999999999541e-03,1.241950588593809179e+01
-2.120000000000000356e-03,1.241965979498811379e+01
-2.099999999999999437e-03,1.241981393921728483e+01
-2.080000000000000251e-03,1.241996831862562090e+01
-2.059999999999999332e-03,1.242012293321312377e+01
-2.040000000000000147e-03,1.242027778297976504e+01
-2.019999999999999227e-03,1.242043286792556600e+01
-2.000000000000000042e-03,1.242058818805052134e+01
-1.979999999999999122e-03,1.242074374335465059e+01
-1.959999999999999937e-03,1.242089953383791467e+01
-1.939999999999999017e-03,1.242105555950034201e+01
-1.919999999999999832e-03,1.242121182034192550e+01
-1.899999999999998912e-03,1.242136831636265804e+01
-1.879999999999999727e-03,1.242152504756256093e+01
-1.859999999999998807e-03,1.242168201394160931e+01
-1.839999999999999622e-03,1.242183921549982095e+01
-1.819999999999998702e-03,1.242199665223717631e+01
-1.799999999999999517e-03,1.242215432415370202e+01
-1.780000000000000332e-03,1.242231223124937856e+01
-1.759999999999999412e-03,1.242247037352420591e+01
-1.740000000000000227e-03,1.242262875097819830e+01
-1.719999999999999307e-03,1.242278736361134683e+01
-1.700000000000000122e-03,1.242294621142363198e+01
-1.679999999999999202e-03,1.242310529441509459e+01
-1.660000000000000017e-03,1.242326461258570092e+01
-1.639999999999999097e-03,1.242342416593546339e+01
-1.619999999999999912e-03,1.242358395446439090e+01
-1.599999999999998992e-03,1.242374397817247633e+01
-1.579999999999999807e-03,1.242390423705970370e+01
-1.559999999999998888e-03,1.242406473112609611e+01
-1.539999999999999702e-03,1.242422546037164821e+01
-1.519999999999998783e-03,1.242438642479634936e+01
-1.499999999999999598e-03,1.242454762440020488e+01
-1.479999999999998678e-03,1.242470905918321300e+01
-1.459999999999999493e-03,1.242487072914539326e+01
-1.440000000000000308e-03,1.242503263428672255e+01
-1.419999999999999388e-03,1.242519477460719557e+01
-1.400000000000000203e-03,1.242535715010683717e+01
-1.379999999999999283e-03,1.242551976078562781e+01
