z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
6.758448060075093744e-02,1.240315045591888987e+00,7.529367515126170751e-01,9.744099379326877086e-01,5.191021231564569849e-01,5.027272141898484481e-01,5.635764789139033892e-01,6.581362157884672603e-01,6.152759521805544196e-01,2.443877375296928389e-01,1.881207506162003162e-01
7.008760951188985899e-02,1.250152869147548751e+00,7.510535231994828198e-01,9.742289116027109674e-01,5.191835811279451596e-01,5.027489645997307299e-01,5.641923358117599818e-01,6.583695180828815774e-01,6.154461831373336800e-01,2.443369871733961918e-01,1.880805725004156825e-01
7.259073842302879442e-02,1.260062109781953765e+00,7.491587807723423253e-01,9.740467285579349488e-01,5.192656562866536651e-01,5.027708748080664813e-01,5.648133179155185868e-01,6.586046208438618432e-01,6.156177140553087401e-01,2.442857956312226853e-01,1.880400608547202479e-01
7.509386733416771598e-02,1.270043250414370606e+00,7.472524865470213662e-01,9.738633829787405327e-01,5.193483532076889064e-01,5.027929459243127841e-01,5.654394670330661343e-01,6.588415365345041685e-01,6.157905537543891805e-01,2.442341593067138827e-01,1.879992131490767771e-01
7.759699624530663753e-02,1.280096776786704860e+00,7.453346031816968642e-01,9.736788690297806248e-01,5.194316764992792379e-01,5.028151790648556219e-01,5.660708253077254559e-01,6.590802776850130940e-01,6.159647110994395103e-01,2.441820745786386915e-01,1.879580268381974284e-01
8.010012515644555908e-02,1.290223177477034078e+00,7.434050936839528001e-01,9.734931808599760483e-01,5.195156308030345338e-01,5.028375753530497372e-01,5.667074352211353139e-01,6.593208568928941027e-01,6.161401950003712047e-01,2.441295378008876693e-01,1.879164993615016210e-01
8.260325406758448064e-02,1.300422943913228879e+00,7.414639214178642135e-01,9.733063126025387479e-01,5.196002207942067574e-01,5.028601359192582665e-01,5.673493395961599628e-01,6.595632868231506851e-01,6.163170144122375183e-01,2.440765453023639175e-01,1.878746281430722365e-01
8.510638297872340219e-02,1.310696570386637339e+00,7.395110501111066270e-01,9.731182583749764525e-01,5.196854511819547495e-01,5.028828619008939294e-01,5.679965815998329060e-01,6.598075802084806263e-01,6.164951783353267434e-01,2.440230933868767771e-01,1.878324105916139020e-01
8.760951188986232374e-02,1.321044554065864407e+00,7.375464438620892293e-01,9.729290122791102169e-01,5.197713267096110146e-01,5.029057544424588855e-01,5.686492047463316268e-01,6.600537498494737365e-01,6.166746958152568014e-01,2.439691783330337760e-01,1.877898441004097752e-01
9.011264080100125917e-02,1.331467395010612176e+00,7.355700671471159247e-01,9.727385684010865230e-01,5.198578521549513942e-01,5.029288146955863681e-01,5.693072528999855164e-01,6.603018086148112475e-01,6.168555759430698338e-01,2.439147963941337705e-01,1.877469260472799106e-01
9.261576971214018072e-02,1.341965596185618725e+00,7.335818848275637016e-01,9.725469208113747266e-01,5.199450323304681820e-01,5.029520438190818732e-01,5.699707702783172181e-01,6.605517694414616559e-01,6.170378278553244611e-01,2.438599437980619178e-01,1.877036537945405426e-01
9.511889862327910228e-02,1.352539663474671361e+00,7.315818621570858715e-01,9.723540635647998087e-01,5.200328720836450147e-01,5.029754429789651260e-01,5.706398014551179454e-01,6.608036453348862249e-01,6.172214607341939274e-01,2.438046167471809023e-01,1.876600246889613133e-01
9.762202753441802383e-02,1.363190105694692456e+00,7.295699647888365114e-01,9.721599907005500363e-01,5.201213762972357602e-01,5.029990133485113812e-01,5.713143913635556626e-01,6.610574493692387144e-01,6.174064838075598027e-01,2.437488114182250198e-01,1.876160360617241396e-01
1.001251564455569454e-01,1.373917434609922106e+00,7.275461587827121157e-01,9.719646962421815140e-01,5.202105498895464031e-01,5.030227561082943888e-01,5.719945852993204571e-01,6.613131946875678846e-01,6.175929063491070181e-01,2.436925239621949846e-01,1.875716852283833280e-01
1.026282853566958669e-01,1.384722164946174283e+00,7.255104106126126773e-01,9.717681741976355037e-01,5.203003978147188180e-01,5.030466724462290262e-01,5.726804289238022205e-01,6.615708945020210008e-01,6.177807376784200111e-01,2.436357505042521798e-01,1.875269694888250516e-01
