z,a,dH,dB,dS,dV,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag,Omega_MAAT
7.481576457522106693e+01,1.318986896198671120e-02,6.160714511163539525e-04,6.160632086520930265e-04,9.684119880446437638e-05,1.348106348962716527e-01,9.993843078592342666e-01,9.993843160915520940e-01,9.999031681785052195e-01,8.812042901689988161e-01,9.583273573345032492e-01,9.583273573345032492e-01,3.471918653267575539e-01,2.605067601377634157e-01,3.194868665146137266e-07
7.411929493320965889e+01,1.331215902504308268e-02,6.160713867119998154e-04,6.160625563397570436e-04,9.901280304789515608e-05,1.348104921533859746e-01,9.993843079235592564e-01,9.993843167430612739e-01,9.999009969995167335e-01,8.812044010118613713e-01,9.583273977445897485e-01,9.583273977445897485e-01,3.471910979892718352e-01,2.605061841620345819e-01,3.266511627398640193e-07
7.342922330043755608e+01,1.343558290220826616e-02,6.160713180879261609e-04,6.160618771825645363e-04,1.012331037647258407e-04,1.348103435361482638e-01,9.993843079920989858e-01,9.993843174213824510e-01,9.998987771433393013e-01,8.812045164163115896e-01,9.583274398181960141e-01,9.583274398181960141e-01,3.471903131962313926e-01,2.605055950797836029e-01,3.339761125287722899e-07
7.274549090259550610e+01,1.356015110565633904e-02,6.160712451049347657e-04,6.160611707724810045e-04,1.035031929129983622e-04,1.348101889552699995e-01,9.993843080649921218e-01,9.993843181269231879e-01,9.998965075188891438e-01,8.812046364516880059e-01,9.583274835806319114e-01,9.583274835806319114e-01,3.471895105603650111e-01,2.605049926002916960e-01,3.414653183383247150e-07
7.206803950529497627e+01,1.368587424502519523e-02,6.160711676216665917e-04,6.160604366570647614e-04,1.058241869354866979e-04,1.348100283117451836e-01,9.993843081423798846e-01,9.993843188601349015e-01,9.998941870106381469e-01,8.812047611948742309e-01,9.583275290599573282e-01,9.583275290599573282e-01,3.471886896849992743e-01,2.605043764257704564e-01,3.491224634025983926e-07
7.139681140910875001e+01,1.381276302832009847e-02,6.160710854955402712e-04,6.160596744020804772e-04,1.081972273086562262e-04,1.348098615105518261e-01,9.993843082244050491e-01,9.993843196214514668e-01,9.998918144780648554e-01,8.812048907196615710e-01,9.583275762831057198e-01,9.583275762831057198e-01,3.471878501651572968e-01,2.605037462522070690e-01,3.569513135438220736e-07
7.073174944465611702e+01,1.394082826282578777e-02,6.160709985825420969e-04,6.160588835794915310e-04,1.106234811039313800e-04,1.348096884580244070e-01,9.993843083112110559e-01,9.993843204113005418e-01,9.998893887550970305e-01,8.812050250987870648e-01,9.583276252766268488e-01,9.583276252766268488e-01,3.471869915871185763e-01,2.605031017690304651e-01,3.649557190240432838e-07
7.007279696773417754e+01,1.407008085602685227e-02,6.160709067368956657e-04,6.160580637004370178e-04,1.131041415615410199e-04,1.348095090471874702e-01,9.993843084029435664e-01,9.993843212301702916e-01,9.998869086495384417e-01,8.812051644153240382e-01,9.583276760708374642e-01,9.583276760708374642e-01,3.471861135268382026e-01,2.605024426579021779e-01,3.731396164382900532e-07
6.941989785449287353e+01,1.420053181653683355e-02,6.160708098111382066e-04,6.160572142856284537e-04,1.156404286772301444e-04,1.348093231731602171e-01,9.993843084997501292e-01,9.993843220785394443e-01,9.998843729424852222e-01,8.812053087507197846e-01,9.583277286954624552e-01,9.583277286954624552e-01,3.471852155511951366e-01,2.605017685936769078e-01,3.815070306501796903e-07
6.877299649665536663e+01,1.433219225503574133e-02,6.160707076555591803e-04,6.160563348817429128e-04,1.182335898021183771e-04,1.348091307367438318e-01,9.993843086017799582e-01,9.993843229568608599e-01,9.998817803877271260e-01,8.812054581820092380e-01,9.583277831786191081e-01,9.583277831786191081e-01,3.471842972181221620e-01,2.605010792445056622e-01,3.900620767709001438e-07
6.813203779678127603e+01,1.446507338521647174e-02,6.160706001191850606e-04,6.160554249790007849e-04,1.208849002560086596e-04,1.348089316263852977e-01,9.993843087091837107e-01,9.993843238656435757e-01,9.998791297111366827e-01,8.812056127958211027e-01,9.583278395519212456e-01,9.583278395519212456e-01,3.471833580746953585e-01,2.605003742703740910e-01,3.988089621825644016e-07
6.749696716357439641e+01,1.459918652473980033e-02,6.160704870487345971e-04,6.160544840600174323e-04,1.235956639544380585e-04,1.348087257288674012e-01,9.993843088221150417e-01,9.993843248054042894e-01,9.998764196100459190e-01,8.812057726800768265e-01,9.583278978474544241e-01,9.583278978474544241e-01,3.471823976579240800e-01,2.604996533237120548e-01,4.077519886069011119e-07
