mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.0027825594022071257,2.847777777777778,True,True,,1.000027523143911,0.9999833662804397,1.0,1.0000675587240508,0.00014317058896337996,1007.6764903165306,0.017534838572835346,2.8233515180800507e-21,-0.8988556956129369,2.3324241901469317e-05
0.0027825594022071257,2.9651851851851854,True,True,,1.000025782626596,0.999983773060178,1.0,1.0000683341917236,0.00014321317882145927,1008.1489862929443,0.017536402154013146,3.05234298293583e-21,-0.8988556961104873,2.3328401628081847e-05
0.0027825594022071257,3.0825925925925928,True,True,,1.000024191029185,0.9999842212730637,1.0,1.000068897454758,0.00014325628097627228,1008.637959425586,0.017537959336195376,3.289250981656324e-21,-0.8988556966059172,2.3332544699505772e-05
0.0027825594022071257,3.2,True,True,,1.0000227331893223,0.9999846957247287,1.0,1.0000692672533527,0.0001432998530065635,1009.1431383840624,0.017539508245618226,3.533935780827601e-21,-0.8988556970986276,2.3336666125169413e-05
0.004641588833612777,0.03,True,True,,1.0000812599804414,1.0000812599804414,1.0,1.0000002086352853,0.00014250999602583202,1001.8616695668718,0.017506949584346315,3.245076003490566e-25,-0.8988556867271701,2.3250108780903125e-05
0.004641588833612777,0.14740740740740743,True,True,,1.0000812609183232,1.0000812609183232,1.0,1.0000049339173211,0.00014251373432525846,1001.8771169496505,0.01750715164508256,7.833912670077262e-24,-0.8988556867917001,2.325064546435487e-05
0.004641588833612777,0.26481481481481484,True,True,,1.0000812630816798,1.0000812630816798,1.0,1.0000151878575925,0.00014252236673660044,1001.9129991478785,0.01750761772656511,2.5277066926441883e-23,-0.8988556869405491,2.3251883423773382e-05
0.004641588833612777,0.38222222222222224,True,True,,1.0000812664337875,1.0000812664337875,1.0,1.0000294408255794,0.00014253576880479517,1001.9692895465372,0.017508339917011218,5.264058394602622e-23,-0.8988556871711926,2.325380169951641e-05
0.004641588833612777,0.49962962962962965,True,True,,1.0000812709203601,1.0000812709203601,1.0,1.0000457826807856,0.0001425537564917803,1002.0459467399666,0.017509306520757176,8.990362516652629e-23,-0.8988556874798993,2.325636930747575e-05
0.004641588833612777,0.6170370370370372,True,True,,1.0000812764733453,1.0000812764733453,1.0,1.0000623504419643,0.00014257609897113492,1002.1429149265973,0.017510502876337226,1.3703808402474377e-22,-0.8988556878619918,2.325954740588485e-05
0.004641588833612777,0.7344444444444446,True,True,,1.0000812830151165,1.0000812830151165,1.0,1.0000776432526606,0.00014260253274654946,1002.2601243190055,0.017511912259645258,1.9400877660753065e-22,-0.8988556883121344,2.3263291687413305e-05
0.004641588833612777,0.851851851851852,True,True,,1.000081290462526,1.000079618301557,1.0,1.0000906670638974,0.00014263277529114992,1002.3974915238058,0.017513516756999616,2.607736176428224e-22,-0.8988556888246118,2.3267554691464743e-05
0.004641588833612777,0.9692592592592594,True,True,,1.000081298730441,1.000056971068617,1.0,1.0001009289350167,0.00014266653694053772,1002.5549198779665,0.01751529802703809,3.372837760963483e-22,-0.898855689393572,2.327228782196033e-05
0.004641588833612777,1.086666666666667,True,True,,1.0000813077345703,1.0000375790246265,1.0,1.0001083398353088,0.0001427035303913591,1002.7322997522742,0.017517237909823836,4.234838159081928e-22,-0.89885569001322,2.3277442960407792e-05
0.004641588833612777,1.2040740740740743,True,True,,1.0000813173935448,1.0000214585600313,1.0,1.0001130856071592,0.00014274347767918996,1002.9295088427592,0.0175193188748737,5.193118321654038e-22,-0.898855690677962,2.3282973652343837e-05
0.004641588833612777,1.3214814814814817,True,True,,1.0000813276303133,1.000008389655975,1.0,1.0001155066510379,0.0001427861148563146,1003.1464124708398,0.017521524322004135,6.2469959265166e-22,-0.8988556913825011,2.3288835903989396e-05
0.004641588833612777,1.438888888888889,True,True,,1.0000813383729725,0.9999980274700819,1.0,1.000116005236613,0.00014283119476461416,1003.3828639069233,0.017523838760106148,7.395726918423516e-22,-0.8988556921218928,2.3294988655653107e-05
0.004641588833612777,1.5562962962962965,True,True,,1.0000813495551608,0.9999899815593526,1.0,1.0001149838061247,0.0001428784883447815,1003.6387047257122,0.017526247891958585,8.638507211069664e-22,-0.8988556928915734,2.3301394006345555e-05
